Country,Year,Total_Energy_Consumption_EJ,,,,
Canada,1965,5.000530282,,,,
Canada,1966,5.323647939,,,,
Canada,1967,5.566649506,,,,
Canada,1968,5.924124717,,,,
Canada,1969,6.283252246,,,,
Canada,1970,6.726827993,,,,
Canada,1971,6.937723588,,,,
Canada,1972,7.467378758,,,,
Canada,1973,8.10915643,,,,
Canada,1974,8.364237249,,,,
Canada,1975,8.240174755,,,,
Canada,1976,8.629160017,,,,
Canada,1977,9.127952967,,,,
Canada,1978,9.303178647,,,,
Canada,1979,9.576737768,,,,
Canada,1980,9.762096643,,,,
Canada,1981,9.704772383,,,,
Canada,1982,9.412660267,,,,
Canada,1983,9.361098116,,,,
Canada,1984,9.958185188,,,,
Canada,1985,10.28619025,,,,
Canada,1986,10.38572655,,,,
Canada,1987,10.71940788,,,,
Canada,1988,11.14864512,,,,
Canada,1989,11.25861171,,,,
Canada,1990,10.83089504,,,,
Canada,1991,10.87498019,,,,
Canada,1992,11.16621093,,,,
Canada,1993,11.44802387,,,,
Canada,1994,11.88416085,,,,
Canada,1995,12.17479295,,,,
Canada,1996,12.50652949,,,,
Canada,1997,12.5684829,,,,
Canada,1998,12.3882094,,,,
Canada,1999,12.78327279,,,,
Canada,2000,13.13096233,,,,
Canada,2001,12.85955214,,,,
Canada,2002,13.29621406,,,,
Canada,2003,13.35967651,,,,
Canada,2004,13.56504337,,,,
Canada,2005,13.65572082,,,,
Canada,2006,13.5790196,,,,
Canada,2007,14.09704011,,,,
Canada,2008,13.92936364,,,,
Canada,2009,13.38371349,,,,
Canada,2010,13.50892683,,,,
Canada,2011,14.0183352,,,,
Canada,2012,14.0610389,,,,
Canada,2013,14.39658982,,,,
Canada,2014,14.42788715,,,,
Canada,2015,14.46952665,,,,
Canada,2016,14.34237848,,,,
Canada,2017,14.53744231,,,,
Canada,2018,14.72460513,,,,
Canada,2019,14.64426148,,,,
Canada,2020,13.75805877,,,,
Canada,2021,13.9211144,,,,
Canada,2022,14.2991053,,,,
Canada,2023,13.94959237,,,,
Mexico,1965,1.055970781,,,,
Mexico,1966,1.11809931,,,,
Mexico,1967,1.139577996,,,,
Mexico,1968,1.241152667,,,,
Mexico,1969,1.362338372,,,,
Mexico,1970,1.454514723,,,,
Mexico,1971,1.5293849,,,,
Mexico,1972,1.690485984,,,,
Mexico,1973,1.823291068,,,,
Mexico,1974,2.007651129,,,,
Mexico,1975,2.144097361,,,,
Mexico,1976,2.281975299,,,,
Mexico,1977,2.407338175,,,,
Mexico,1978,2.70903529,,,,
Mexico,1979,2.99534724,,,,
Mexico,1980,3.262765048,,,,
Mexico,1981,3.607493489,,,,
Mexico,1982,3.759531524,,,,
Mexico,1983,3.717527009,,,,
Mexico,1984,3.890974297,,,,
Mexico,1985,4.083825966,,,,
Mexico,1986,3.96242775,,,,
Mexico,1987,4.092837442,,,,
Mexico,1988,4.12367316,,,,
Mexico,1989,4.355386074,,,,
Mexico,1990,4.748657549,,,,
Mexico,1991,4.887647618,,,,
Mexico,1992,4.982792936,,,,
Mexico,1993,4.987388711,,,,
Mexico,1994,5.272718631,,,,
Mexico,1995,5.181614615,,,,
Mexico,1996,5.316795379,,,,
Mexico,1997,5.445717089,,,,
Mexico,1998,5.667017661,,,,
Mexico,1999,5.749434225,,,,
Mexico,2000,6.095792139,,,,
Mexico,2001,6.0465367,,,,
Mexico,2002,6.192211014,,,,
Mexico,2003,6.267412874,,,,
Mexico,2004,6.635126564,,,,
Mexico,2005,7.27061083,,,,
Mexico,2006,7.377035961,,,,
Mexico,2007,7.446451285,,,,
Mexico,2008,7.752683598,,,,
Mexico,2009,7.622020667,,,,
Mexico,2010,7.651632934,,,,
Mexico,2011,7.998792455,,,,
Mexico,2012,8.070807551,,,,
Mexico,2013,8.074287123,,,,
Mexico,2014,8.030066598,,,,
Mexico,2015,7.939515893,,,,
Mexico,2016,8.112233637,,,,
Mexico,2017,8.255751646,,,,
Mexico,2018,8.154998919,,,,
Mexico,2019,8.069090445,,,,
Mexico,2020,7.350902631,,,,
Mexico,2021,7.833219729,,,,
Mexico,2022,8.183101859,,,,
Mexico,2023,8.452957041,,,,
US,1965,51.9829235,,,,
US,1966,54.89050885,,,,
US,1967,56.80274197,,,,
US,1968,60.18978707,,,,
US,1969,63.30032285,,,,
US,1970,65.54102138,,,,
